ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF18abfdupq,10.57,0.017,1.54469653,0.018439088915
ZTF18abfgygp,8.62,0.021,0.87869653,0.055154328933
ZTF18abfhaji,8.009,0.707,2.48669653,6.189090563241
ZTF18abfhryc,7.364,0.197,-0.65330347,0.285616876252
ZTF18abfwuwn,6.378,0.346,1.42869653,0.694661068436
ZTF18abfxgys,6.816,0.297,0.55269653,2.086788201998
ZTF18abfzkno,8.751,0.025,0.54469653,0.048259714048
ZTF18abgkjff,7.77,0.041,0.62169653,0.103730419839
ZTF18abgledy,7.948,0.056,0.54969653,0.159777970947
ZTF18abglpdy,10.001,0.054,1.11869653,0.055
ZTF18abgmcmv,9.253,0.043,1.06869653,0.020518284529
ZTF18abgosbg,9.02,0.109,1.26969653,0.054644304369
ZTF18abgqkpc,9.964,0.021,1.59769653,0.027802877549
ZTF18abgxvra,8.143,0.579,2.03069653,1.574700606465
ZTF18abhbfqf,9.965,0.027,1.64469653,0.033241540277
ZTF18abhbqbh,9.634,0.042,1.49869653,0.018384776311
ZTF18abhgrff,9.858,0.028,1.10169653,0.024083189158
ZTF18abhhxcp,10.175,0.022,1.23369653,0.017691806013
ZTF18abhpgje,8.189,0.463,0.99669653,0.891090343343
ZTF18abhpzig,9.448,0.025,1.35769653,0.044944410108
ZTF18abhqdpv,9.362,0.027,0.63869653,0.020615528128
ZTF18abhxidv,9.529,0.023,1.07169653,0.021213203436
ZTF18abifioh,10.16,0.025,1.17269653,0.022803508502
ZTF18abiinnl,8.936,0.06,0.95569653,0.022022715546
ZTF18abiirfq,8.875,0.008,0.60869653,0.035510561809
ZTF18abilofa,8.924,0.027,0.63669653,0.036235341864
ZTF18abimsyv,8.206,0.11,0.12369653,0.17459667809
ZTF18abixjey,7.702,0.184,-0.46430347,1.366927210937
ZTF18abixkdo,5.989,0.352,-0.43530347,1.36654454739
ZTF18abixkjh,7.991,0.086,0.29969653,0.198002525236
ZTF18abixrei,10.337,0.024,1.41969653,0.031112698372
ZTF18abiybfq,8.388,0.125,1.24469653,0.087863530546
ZTF18abjdjge,7.306,0.87,1.69969653,2.097509475545
ZTF18abjgyyr,9.042,0.026,1.04669653,0.023430749028
ZTF18abjhack,8.183,0.089,0.62469653,0.243704739388
ZTF18abjijwk,9.722,0.069,1.33569653,0.022203603311
ZTF18abjqmqt,9.829,0.093,1.43469653,0.024758836806
ZTF18abjrfqx,8.514,0.031,0.85269653,0.033241540277
ZTF18abjrznx,9.784,0.134,1.34669653,0.018439088915
ZTF18abjstcm,10.309,0.014,1.03669653,0.018384776311
ZTF18abjtgdo,9.853,0.013,1.31169653,0.028284271247
ZTF18abjtger,8.736,0.052,0.72769653,0.058694122363
ZTF18abjvhec,8.926,0.064,1.08169653,0.027658633372
ZTF18abjvzxx,8.02,0.157,0.96769653,0.249130487897
ZTF18abjwahi,9.763,0.056,1.44569653,0.044598206242
ZTF18abjyime,7.41,0.507,1.15369653,0.612602644461
ZTF18abkhbra,7.642,0.128,1.01069653,0.18425254408
ZTF18abkhcrj,9.667,0.069,1.29169653,0.020518284529
ZTF18abkhcwl,8.041,0.048,0.71969653,0.051429563482
ZTF18abkhdxe,8.358,0.079,0.39669653,0.252287534373
ZTF18abkifng,9.872,0.027,1.28669653,0.020518284529
ZTF18abkigee,8.017,0.214,-0.01630347,0.825098781965
ZTF18abklaoj,7.463,0.08,0.90169653,0.087367041841
ZTF18abklljv,6.927,0.549,0.10469653,1.99191591188
ZTF18abktphg,9.163,0.031,0.95469653,0.038948684188
ZTF18abkudjo,8.476,0.04,0.99669653,0.108466584716
ZTF18abkxlcz,9.612,0.027,1.17069653,0.028301943396
ZTF18ablhvfr,5.879,0.65,-1.55030347,3.16596667702
ZTF18ablmduj,9.169,0.025,1.03769653,0.059640590205
ZTF18ablmflp,8.384,0.031,0.86869653,0.046647615159
ZTF18ablongw,9.719,0.038,1.05069653,0.02
ZTF18ablqdrj,9.462,0.062,1.09769653,0.021213203436
ZTF18ablqhqx,8.103,0.624,0.94369653,1.587085693969
ZTF18ablqjul,7.83,0.203,-0.18630347,0.779602462798
ZTF18ablqkba,8.034,0.278,0.29169653,1.00170354896
ZTF18ablqkud,8.486,0.05,0.44969653,0.054083269132
ZTF18ablqlzp,9.586,0.065,1.01469653,0.018439088915
ZTF18ablqqqp,8.116,0.184,0.56369653,0.233668568704
ZTF18ablrljh,9.752,0.077,1.18169653,0.021260291625
ZTF18ablsztl,8.014,0.815,2.20269653,2.443004911989
ZTF18abltaxf,9.129,0.043,1.17869653,0.040311288741
ZTF18abltdfj,8.366,0.021,1.13869653,0.032557641192
ZTF18abltdkd,7.585,0.088,0.73669653,0.109128364782
ZTF18abltebf,8.469,0.167,1.60169653,0.584657164499
ZTF18ablwgop,8.304,0.121,0.97469653,0.574460616579
ZTF18ablwrmh,8.365,0.138,0.86269653,0.192408419774
ZTF18ablwtkf,9.493,0.099,1.19069653,0.019104973175
ZTF18abmaewl,8.57,0.077,0.66969653,0.262274665189
ZTF18abmjcbs,9.346,0.128,1.31869653,0.055901699437
ZTF18abmjvpb,6.687,0.6,1.00869653,1.489499580396
ZTF18abmjvuf,,-9.0,,
ZTF18abmjyvo,7.045,0.517,0.73269653,0.969058305779
ZTF18abmkaps,9.032,0.024,1.21769653,0.024207436874
ZTF18abmmdif,8.353,0.089,0.60169653,0.082079230016
ZTF18abmmkaz,8.374,0.046,0.79669653,0.081492330928
ZTF18abmmrgm,9.226,0.081,1.18969653,0.178474087755
ZTF18abmnrgb,8.545,0.024,0.71369653,0.034669871647
ZTF18abmnwjo,9.322,0.093,1.28469653,0.046861498055
ZTF18abmogag,9.902,0.079,1.35869653,0.020518284529
ZTF18abmoung,9.32,0.025,0.92469653,0.028600699292
ZTF18abmrhom,10.121,0.094,1.23869653,0.019798989873
ZTF18abmrzun,8.668,0.032,0.65869653,0.026925824036
ZTF18abmstte,8.4,0.017,0.76869653,0.032649655435
ZTF18abmwnov,8.193,0.205,1.17569653,0.218497139569
ZTF18abmwpyl,7.967,0.61,1.66369653,1.243145204713
ZTF18abmwzpt,10.377,0.016,1.39169653,0.026907248094
ZTF18abmxahs,8.956,0.029,0.65269653,0.019849433241
ZTF18abmxdhb,7.34,0.246,0.04669653,0.437049196315
